Tweet,Sentiment,Sentiment_Expression
عزيزي اللي تغرد ٢٨٠ حرف تاكد اني جالس اسحب على تغريدتك زي ماسحب على رسايل الواتس الطويله . تلوث بصري تويتر صار . #تويتر_280_حرفا,negative,explicit
@abofozan90 فريقنا كله زين بس ناقصه واحد بدال المخرف يتعامل معهم ويربيهم صح,very_negative,explicit
"وزير العمل الفلسطيني مأمون أبو شهلا: برنامج لتشغيل . 20 ألف عامل وخريج. بشكل مؤقت في قطاع غزة، سيطبق مطلع العام… https://t.co/QeG5bnF9wY",positive,explicit
الله يحميك يا #ايميليو ويعطيك ايام حلوة عقد ما واجهت ايام بشعة ويا ريت كل الشباب عندن شجاعتك انت وأهلك انت رائع👍. بداية قوية ل #هوا_الحرية,positive,explicit
@jerrymahers انت عميل لانك عم تطلب من السعودية ضرب حزب لبناني . السعودية ولو بدا تضرب الحزب فشرت ولا لا انت ولا الس… https://t.co/9vyPbVuwZf,negative,explicit
من يحمل جنسية سعوديةويعلن إستقالته من الرياض لا يحق له توزيع شهادات وطنية وإنتماء. نحن مش ضد تحمل اي جنسية. لكن لا تحرق بلدك لعيون السعودي,negative,explicit
"إن الحياة من حولك أكبر مما تراه عينك،. وأعمق بكثير مما يؤمن به عقلك فلا تعمم نظرتك المحدودة على هذا الكون الشاسع أي… https://t.co/K4kEZhQuNs",very_positive,explicit
@Versaci_ كانت توصل لان الفصائل كانت هواي وبعدين دخلوا للهيئة بس اللي عددهم على الاقل ٣٠٠٠ مقاتل وهواي تفاصيل ... بس صارت مكاشفه للوهميين,negative,explicit
اللهم عالم الغيب والشهادة فاطر السماوات والأرض رب كل شيء ومليكه أشهد أن لا إله إلا أنت أعوذ بك من شر نفسي ومن شر الشيطان وشركه.,positive,explicit
الواحد حفظ نفسيتو وعرف انو لو حكى اشي معين هيصحى تاني يوم ندمان عليه فبطلت احكي 😂. الحمدلله😄. بس يارب انام قبل ما ارجع افكر بالموضوع😥,negative,explicit
بشرا ساره باذن الله لجميع اخصائي اجتماعي عاطل تسمعونها الايام القادمه باذن الله . أخوكم/مدير رابطة حقوق الخدمه الاجتماعيه . سلطان المطيري,positive,explicit
"ربي إني أسألك أن تريح قلبي وفكري وأن تصرف عني شتات العقل و التفكير , ربي إن في قلبي أمورا لا يعرفها سواك فحققها لي… https://t.co/3ZI1UeLhtx",positive,explicit
"صار في فريقين جداد عالسّاحة. في جماعة #قاطعوا_الأم_تي_في و في #مطرود_من_عبود . أنا بحس حالي مع تاني فريق ، اسمو كول أكتر ..",negative,explicit
مبروك لجمهورية #مصر العربية وكل المصريين والعرب الفرحة الكبيرة بتأهّل المنتخب المصري لكأس العالم ٢٠١٨ في روسيا 😉,very_positive,explicit
@Deema22 اخو اللي باع البيت والارض له صديقي وكان مشرف ع كل شي لان اخوه في امريكا والرقم معروف وكل شي مبين..واالي مش… https://t.co/Fp8j4dSgTa,negative,explicit
"لا حول ولاقوة الا بالله ، ما اسرع مات ☹️💔. #زد_َرصيدَك57 #اخطا_املاييه_شايعه #زد_رصيدك57 #عصفور_معاذ https://t.co/RalXH3nIev",very_negative,explicit
طبول الحرب تقرع نارالحرب في سورياتتمددلتحرق من حاول أن يحرق ثورتهاحزب الله أن الأوان لرد جمائلكم التي النار التي أشعلتموها سوف تكونواوقودها,negative,explicit
هولاء الأعلامين والسياسيون الذين يحرضوا بعد إقالة رئيس الحكومة من السعودية ويعطى المبررات الكذبة ضد مصلحة البلداذاأشعلت النار انتم رمادها,very_negative,explicit
النصر كاس ابطال أسياء=0 الأهلي كاس ابطال أسياء=0 #العالميه_صعبه_قويه مدري يقلونها ليه,very_negative,implicit
السلام عليك يا اباعبدالله الحسين لعن الله من قتلك لعنه الله من ظلمك لعن الله من حرمك من شرب الماء https://t.co/Ir1wV7GsL4,very_negative,explicit
وسقطت الاقنعة المزيفة وأصبحت مكشوفة. فلتحلم كثيراً بالحرب على حزب الله ولكن لا تنسى قول الله في القران الكريم. فإن ح… https://t.co/boRqLfUPh9,negative,explicit
ليت اخواننا الاكراد - ان ينتبهوا لخيانة مسعود - سابقا - وحاليا - . ويؤمنوا ان لاحياة حرة سعيدة لهم بدون العراق بعرب… https://t.co/otfCe7QywY,negative,explicit
عندي ايمان كبير انه الجاي أفضل.. وعندي قناعة تامة انه اي محنة بمر فيها عبارة عن سحابة صيف.. والله المستعان ❤,very_positive,explicit
اللهم أحبس عن #آل_سعود قطر السماء و أبعث عليهم سنين كسنيّ يوسف و سلَّط عليهم غلام ثقيف يسقيهم كأساً مصبرة يا الله. #السعودية #الرياض #قطر,very_negative,explicit
"عندما يصرخ شخص ما في وجهك ، إحتفظ بهدوئك ، فهذا سيزيد غضبه في البداية ثم يشعر بالخجل ، ثم يشعر بالأذى أكثر مما شعرت أنت .",positive,explicit
"#زياره_الاربعين الامام الحسين وثورته واربعينه هي لكل الانسان ومن كل الاعراق والقوميات والديانات وليس مختصر على احد ,والعراق ليس جدار وابواق",neutral,none
@old_sportier وين ايامك يا جاسم يعقوب و الدخيل و جمعة عندما كان للكويت فريقا يحسب له الف حساب,negative,explicit
@turki_tata هههههههههههههههه تاتا ما إلنا حل و الله حب الحقراء و الأشرار في دمنا ما في مجال يعني! كل مسلسل بنروح بن… https://t.co/fUq5RHyVJu,negative,explicit
@rico4_ ودي اقدم على ماستر ؟!. هل بامكاني مع العلم ان تخصصي مكتبات والتقدير مو كويس بتاتا🙃🙃. اقدر او لا !! . تكفون ردوا🌹,neutral,none
سفراء الاتحاد الأوروبي: ندعم وحدة لبنان واستقراره وعلى جميع الأطراف متابعة الحوار https://t.co/fCZuFQmrjH. #لبنان https://t.co/kKuQdnMnuY,positive,explicit
اللي بخجل من بنت عمه؟؟؟وزير إسرائيلي: نعم لدينا علاقات مع السعودية وهي التي تخجل من إعلان الأمر ولسنا نحن! https://t.co/byQgRCPrRN,negative,explicit
انا اردني ومن أصل اردني أتمنى يرجع للأردن كل مغترب اردني في السعودية بلاش ما يطلع عليكم هيك هاشتاغ… https://t.co/fj7RimU2Ht,negative,explicit
"الحمدالله حصلت على المركز الثالث والمركز الاول في سباق وادي رم الدولي في الاردن لمسافة ٤٢ كيلو متر ، وحصل اخوي فيصل… https://t.co/mh0O0334vr",very_positive,explicit
"@r_als0lami @AlzandiM أرجو أن يتم اتخاذ أقسى العقوبات حيال تغريدة "" الزندي محمد "" ليكون رادعاً له و لغيره ... هذا ا… https://t.co/InUWyPpQrd",negative,explicit
أثبتت الأزمة الراهنة أن محور المقاومة في لبنان قادر على حماية البلد طالما يملك قرار الحرب والسلم . تصورو مثلأ يكون ا… https://t.co/8vnTWn69wN,positive,explicit
@hayaa_alnahdi @AJArabic فالذي احب اشير اليه واحب ان تعرف من هم الشيعة ومن هم شيعة ايران ونحن نفتخر بايران ونحن نجل… https://t.co/cdoezH74pu,positive,explicit
صباح الخير للقلوب المستبشره بفرج الله !! صباح الرضا بما قسمه الله من أرزاق !! صباح النقاء والصفاء للقلوب الطاهره والعامره بالإيمان !!!,positive,explicit
ف حياتك هتدينى نص الفلوس ولما تموت قبلي ان شاء الله هاخد ميراثي الشرعي من الفلوس الباقيه . - انا عمرى ما شوفت اقذر م… https://t.co/3bdccuZ0oX,very_negative,explicit
نرد على هذا الزعيري انك لا تهتم بلبنان على الإطلاق لأنك لست لبناني والرد هو طز فيك وبالسيادة لأننا نحن احرار ولا نه… https://t.co/Vc0ncqCIP8,very_negative,explicit
تذكّر.. يراك الله حين توجع قلبي؛ ويراني حين أدعو لك بالمغفرة؛ كأني أحبكَ بما لم يأمر به اللهُ لكنهُ لم يحرّمه.,negative,explicit
أهم تصريحات د خليل الحية. اجتماع القاهرة يجب أن يحدد المبادئ والتوافق على لجنة امنية مشتركة. ملف الاعتقال السياسي ي… https://t.co/jhasTcJlKC,neutral,none
"قال أحد السلف : إن الله ضمن لك الرزق فلا تقلق ، ولم يضمن لك الجنة فلا تفتر ، واعلم أن الناجين قلة ، وأن زيف الدنيا… https://t.co/5mdGSoiHYM",neutral,none
ارد اعرف نفسي خل تسمع الوادم احسين ابويه وبيتي يا ناس المآتم عمري مو اعوام عمري اشكثر لاطم اسمي مو باسم انا سموني خ… https://t.co/rqAtIbhNrQ,neutral,none
@eliasbarraj الله يستر من القادم هل تكون استقالة سعد الحريري مقدمة لضربة اسرائيلة نهائية لحزب الله وتنظيف المجال… https://t.co/ZLJTPGaS95,very_negative,explicit
"تكره الفساد؟. ابدأ بنفسك: كُن موظفًا أمينًا ومُخلصًا ولو فسد الجميع من حولك. فأنتَ تخلص لله وحده ثم لوطنك ، أن الله لا يُضيع أجر المُحسنين؟",very_positive,explicit
قال عبد الرحمن بن مهدي :. لولا أني أكره أن يُعصى الله لتمنيت ألا يبقى في هذا العصر أحدٌ إلا وقع فيّ واغتابني فأي شيء… https://t.co/ITujpbJnrU,neutral,none
هل تعلم ان حارس المنتخب السوري الحالي هو شبيح اخو شرموطة كان يحمل السلاح ويقتل السوريين الابرياء؟! لا والله شكلك ما… https://t.co/yi5e5xyMND,very_negative,explicit
@public_arar مر عامين على وعد مدير عام صحة الشمالية بتطوير الإسعاف والطوارئ بمستشفى #طريف كما حصل في #رفحاء #العويقيلة #عرعر. لازلنا ننتظر 😌,very_negative,explicit
من ارسل على هذه الجموع المليونيه .؟وماذا يرمون ؟وماهي التجارب التي كسبوا منها عند توجههم الى حفيد نبيهم الذي طلب من… https://t.co/kwAqjTYn5i,negative,explicit
لمن يكون وياك طفل ( @WaqarAbadi) بالطلعه ويظل يخبص الدنيا اذا ما اشتريناله ف لازم ترضيه بشي مثل هذا ........ طلعة مع… https://t.co/lcn1NyToRl,positive,explicit
#كلام_الناس أستاذ محمد عبيد يعتبر ان ما جرى اليوم هو اخطر من 5 ايار وهو على مستوى القرار 1559 وهذا يعني ان السعودية… https://t.co/F1uxwzkeEv,neutral,none
"""مساء الحب يا جرحي وكل أحلامي والإحساس. مساء الحزن يا فرحي ودمعي في عيون الناس. حبيبي أجمل العالم ولا قبله ولا بعده. ق… https://t.co/xFnD9tTUCN",very_positive,explicit
"لا أهتز لأي إنتقاد يكفي أني متحالف مع الحرية ، وحبر قلمي من دم القلب ، وأنتَ ( زلمة) زعماء الصفقات والفساد .. فؤاد س فريجي",neutral,none
غرباء نحن الغارقون تحت رقاد الخيبة نتقاتل الفراغ لا وطن يجمعنا ولا أمان يظلل أحلامنا ونحاول أن نتقارب بالأرواح ونحن بالأصل غرباء وهل سنبقى,negative,explicit
@YZN13_ حتى بعد رفاقي في الحزب كانوا مستغربين كيف اني ماشية ضد رأي الاغلبية الساحقة من ابناء الحركة التقدمية وبهالقوة !,positive,implicit
"@PlayerBorSa مساحة الفيلا الداخلية 410 م + 40 م مساحة الحديقة. عدد الغرف 5 + 1 صالون. سعر الفيلا 1,350,000 ليرة تركي… https://t.co/40lhfkduuZ",neutral,none
فكرت اقدم لك هديه. قارورةعطر. كلا فأنت رشةعطر بالقلب يكمن سرها. ساعةيد. لاتناسبك فمواعيد غرامك لاتوقيت لها. باقةورد. كيف… https://t.co/Uvkg0wrOnz,very_positive,explicit
والله العظيم عندي احساس كبير مرتبط بالتغقل ان الأسماء المنشورة لها علاقة بالفساد بس من باب احسان الظن والرفق سكتت.,negative,explicit
استشهاد أحد مصوري التلفزيون العربي السوري محمد ميلاد إثر انفجار لغم به من مخلفات تنظيم داعش في ريف حمص الشرقي ▪ #اليمن_صرخة_حق,negative,explicit
@jamalrayyan من بعد إعدام صدام حسين في صباح اول ايام عيد الأضحى - كالاضحية - إسرائيل إنتصرت في إحتلال 22 دولة عربيه ..,negative,explicit
اول عشر دقايق كانت مبلشه الحلقه حلوه بس بعدين صارت عاديه جدااا😒 ! لنشوف شو ناطرنا باقي الحلقه انشالله يكون شي اهضم متل ما بنتوقع. #لهون_وبس,negative,explicit
المراة القوية هي التي ترتدي كل صدماتها و ألامها. كما ترتدي الكعب العالي ... لا يهم أنه يؤلم .. . لكنه يعطيها إطلالة جميلة,very_positive,explicit
@wiamwahhab كأنوا هددو وقالولوا بتقرأ هل بيان مثل ما هو وممنوع ترجع على لبنان في شي مش طبيعي عم يصير والله اعلم,negative,implicit
خروج المنتخب السوري من تصفيات مونديال #روسيا 2018 بعد خسارته امام أستراليا بنتيجة 2 - 1 في مباراة إياب الملحق الآسيوي,negative,explicit
نخدم زوار الامام الحسين حفيد رسول الاسلام حتى لو غير مسلم واي كانت جنسيته حتى الايرانيين نخدمهم ك زوار وبشر #الرحمه. #العراق. #ايران. #السعودية,positive,explicit
@tadabbor. (وقل جاء الحق وزهق الباطل إن الباطل كان زهوقا). ثبّت اضطراب قلبك بهذا الوعد الحق من الله الحق مهما اشتدت ا… https://t.co/y2iFk1NraU,very_positive,explicit
العبادي حربنا القادمة مكافحة الاٍرهاب ؟ اذن المطلوب تشكيل لجنة عليا بإشرافه ترتبط به مباشرة ومن وجوه منهنيه وليس سياسية تخول كل الصلاحيات,positive,explicit
حرام يخسرو بآخر الدقايق زعلت عليهن هيك فريق وهيك عزيمه ما بستاهلو يخسرو ابدا :( بس اكيد كل سوريا فخورة بهالمنتخب وبهيك اراده. #نسور_قاسيون,positive,explicit
@ryoo550441 @reem1999gh3 ي ريان الهذلي توكل توكل ي قليل الحيا والتربية واذاء م ترضى على اختك لا ترضى على بنات النا… https://t.co/mVHupZchmR,negative,explicit
من سلبيات الشخصية العربية أنها لا تهتم بالفعل نفسه بقدر ما تهتم برد فعل الناس نحوه: لا يهم أن ترتكب ذنب المهم ألا يعرفه الناس.. 🙃,negative,explicit
"بتوقع السيء دايما وبحط خطط بديلة ، مش تشائم بس بهيء نفسي للصدمة من بدري في حال وقعت بتكون اخف",negative,explicit
@xpasd2 قادة مبدعون تلاحظ على محياهم نظرة الفوز والاعتزاز بما انجزه ابنائنا الطلاب زرعتم وسقيتم وحان جني الثمار مبا… https://t.co/zPuU4j89f2,very_positive,explicit
لما انت تصوت لواحد زي هيك انت بتتحمل مسؤوليته. و اشوف بس كيف رح توقف يوم القيامة قدام رب العالمين و تحكي اه بس ابن ع… https://t.co/TV9y2BZvYk,negative,explicit
النائب في المجلس التشريعي محمد دحلان : الشعب الفلسطيني قاب قوسين أو أدنى من تحقيق المصالحة بمشاركة كل الفصائل والقو… https://t.co/gyof528MXH,positive,explicit
"من وصايا لقمان لابنه:. ""يا بني، إذا امتلأت المعدة نامت الفكرة، وخرست الحكمة، وقعدت الأعضاء عن العبادة"".",neutral,none
خلي الإحترام ركزلي على كلمة الإحترام يا إبن المحترم أساس لتعاملك ويه الناس.. مشينا كرهك للمسلمين ودينهم و كانه كلمن حر برأيه بس إحترمهم كبشر,positive,explicit
"مصر، تونس، السعوديه وان شاء الله سوريا هل تعتبر بدايه ثوره عربيه رياضيه؟ المهم العرب يقتحمون كأس العالم 💙",very_positive,explicit
كل مرة حدا من رفقاتي بسافر و بودعو بحس روحي بتنقص قطعة . و المهددين بالسفر اقل بكتير من اللي راحوا . حدا بقيان ؟ لا كلنا مشروع مهاجر او عسكري,very_negative,explicit
إصرار حكومة #بغداد على تسلم المعابر الحدودية وأدارة المطارات وآبار النفط في #كوردستان هو إعلان ل إفلاسها والاعتماد على الاحتياطي لسد العجز,negative,explicit
"راموس نجم منتخب🇪🇸 يلتقي ب #إسرائيل الطفل راموس، نجل شرطي حرس الحدود هايل ستاوي الذي قضى بالإعتداء الإرهابي بالأقصى… https://t.co/O5b5vJlGd1",neutral,none
الطريقة الأمثل للإنتصار في بعض المعارك هو عدم خوضها منذ البداية // والشجاع ليس من يفوز في الخصومة وإنما الذي يتجنبها ويتلافها //,positive,explicit
"ان كنت بلاء أبناء الجزيرة في مملكتك وكل مؤهلاتك أنك من نسل ملك وعائلةً انت نفسك اسقطت هيبتها، فمن اعطاك الملك لكي ت… https://t.co/mAmTSt5Zqp",very_negative,implicit
انا هاللحظة عالتويتر وكم هائل من السباب والشتائم على صفحتي عالفيسبوك. كل ذنبي اني ادليت برأيي. وبعدكم بتحكوا بحرية الرأي؟. لا ما في حرية/كذبة,negative,explicit
قوى الامن: أوقفت قوة من المجموعة الخاصة في مكتب مكافحة الإرهاب والجرائم الهامة ر. م. (1990) مطلوب بـ 20 مذكرة عدلية بجرائم مخدرات وسرقة,neutral,none
"ابتداءً من الساعه ٥:٣٠ م. الهوا مفتوح ، للتعبير عن رأيكن باستقالة رئيس الحكومة اللبنانية . للمشاركة : واتس اب 03973749 . رقم الهوا 08814815",neutral,none
#ليه_استقال_الحريري هذه الاستقالة أقالة من السعودية.لسعد الحريري يا حيف بدك سيادة وحرية من دولة ملكية ما سمعت كلام وزير خارجية قطر,negative,explicit
تتلخص تعاسة اليوم اول اشي ناسيه انه عندي براكتس وناسيه كل اشي بالبيت /وجع معده / كل كيس براكتس تعطينا اياها المس تك… https://t.co/bQuxCWYprQ,negative,explicit
@DRSAMIRGEAGEA معلومات عن تراجع #حزب_الله عن سلوكياته واعلانه الانسحاب من كل أزمات المنطقة التي يشارك فيها بعد سماعه بكلام جعجع ... 🙆‍♂️,negative,explicit
@3333_razan أهلاًبك .. تختلف الأسعار على حسب نوع الريش المراد طلبها من قبلكم . . الـ 15 ريشة يعتبر حجم كبير سعره 550… https://t.co/gZU6Wyn8eA,neutral,none
"@3333_razan حياك الله رزان ، لدينا خدمة توصيل و لدينا أيضاً موزع في عرعر .. الموزعين هـم : . جولدي ( الفهد ) شارع… https://t.co/SbJoqir4R5",neutral,none
#ريال_مدريد_فوينلابرادا. مايورال عمل شغل كبيير الهدف الثاني. دخول بيل حرك أداء الملكي للأفضل بدايه جيده لحد الان,positive,explicit
"لا يقاس الحسين (ع) بالثوار، بل بالأنبياء . ولا تقاس كربلاء بالمدن، بل بالسماوات . ولا تقاس عاشوراء بحوادث الدهر، بل ب… https://t.co/ke8Oqq9LMQ",positive,explicit
التحكم المروري: تصادم بين بيك آب وسيارة على اوتوستراد الدورة باتجاه نهر الموت والاضرار مادية ودراج من مفرزة سير الجديدة يعمل على المعالجة,negative,explicit
يا بنت عطشان والماء بيرِه عيونِك. مدِّي بدلوِك لجوفي الضَّامي إسقيني. لا تُنثرِي الماي وِامشي بِه على هونِك . واعطيني الوقت أشرَب لَيْن تروِيني,very_positive,explicit
"انمحنن لمى اقرا كذا ، يلا محنوني وعبو الخاص كله نفس هالكلام وفرك كس في كس يقحباتي😭✔️ تعالو ابي احس بمقحبتي القويه🌈.… https://t.co/zkGsGJbmul",very_negative,explicit
#ايران_تستهدفنا_جميعا. نشر التشيع و تصدير الثورة و خطة الهلال الشيعي والى الان في ناس تكابر و تقول ان ايران دولة صدي… https://t.co/utmQpeIdJf,very_negative,explicit
سيطره نادي الهلال على كل شي شبابي من اداره الى لاعبين الى كيان وسحب افضل عناصر كانت بالشباب من ناصر الشمراني الى ال… https://t.co/ckYcE369Cq,positive,explicit
اللهم عالم الغيب والشهادة فاطر السماوات والأرض رب كل شيء ومليكه أشهد أن لا إله إلا أنت أعوذ بك من شر نفسي ومن شر الشيطان وشركه.,positive,explicit
رئيس وزراءلبنان سعد الحريري يقدم استقالته و يؤكد رفضه استخدام سلاح حزب الله ضد اللبنانيين والسوريين ويعرب عن خشيته من تعرضه لمحاولة اغتيال,neutral,none
ستبقى رمزآ وقائدآ للشعب الكوردي لانك زرعت الرعب في نفوس الاعداء سيدي القائد حفظك الله يامحبوب الشعب أنت أمل الكورد… https://t.co/72sRqv4oXz,very_positive,explicit
طيب هههه هههه راح نخليك 😂انت😂 بدل التاج و الورد 😷😒😆😆😆😆. خلاصص جنت العالم رسميا ... ناقص تختارون شنو منلبس وشو منحكي . https://t.co/WcuTEnZY3K,negative,explicit
#ال_سعود هم من أسسوا الفساد. وهم من شرعوا الفساد. وابن سلمان أكبر حيتان الفساد في البلد حاليا. لذلك لا يصدق أن #الملك_يحارب_الفساد إلا أحمق,very_negative,explicit
صدفة اليوم: كل يوم بتنقطع الكهربا ساعتين الا اليوم سبحان الله بس شرّفنا الوزير جبران باسيل من أول ما فات عالضيعة و هيي مقطوعة 😂😂,negative,explicit
"مقتل مهرب دخان، برصاص الأمن على الحدود بين قطاع غزة ومصر بالقرب من منطقة الأنفاق في حي السلام برفح جنوب قطاع غزة.",neutral,none
أحبك لو تزيد الجرح وتجرحني أحبك لو تداوي الجرح و تشفيني وتزيد القهر و تقهرني و تزيد الهجر و تهجرني ومن الجرح تسقيني… https://t.co/4NRLVoJaJq,positive,explicit
السلام ع صاحب السكينه . السلام ع المدفون في المدينه . السلام ع المنصور والمؤيد . السلام ع ابي القاسم محمد بن عبدالله ورحمه الله وبركاته,positive,explicit
وصول مدافع منتخبنا الوطني الجديد فرانس بطرس الى مطار بغداد قبل قليل للاتحاق ببعثة المنتخب استعداداً لودية سوريا الأ… https://t.co/E63JHfl1FP,neutral,none
"أمسينا وأمسى الملك لله رب العالمين،اللهـم إني أسألك خير هذه الليله فتحها،ونصرها، ونورها،وبركتها وهداها، وأعوذ بك من شر ما فيها وشر ما بعدها",neutral,none
سُهيل اليمني . اليمن السعيد اصبح اليمن التعيس . سامعة يا توكل يا بنت شخرومان . سامعين يا كولجية الغبرة يا بوم الخراب. اللهم لك الحمد 💜,very_negative,explicit
بعداضافةحصة النشاط والدوام الشتوي يخرجن المعلمات حول العصرقمة الظلم أمهات ومسئولات عن منزل وووالمفروص دوام المرأة ما يتعدى الساعة الواحدة,very_negative,explicit
اللطيف في موضوع الهندسة انو اكتر من نسبة 70% من طلابها في اول سنة بضيفو كلمة Eng قبل اسمائهم ومع مرور السنوات بكتشف… https://t.co/244bZoqyLa,negative,implicit
عندما فشل المخطط الماسوني العالمي بقيادة امريكا وذيولها بني صهون حكام بني سعود في زرع داعش في المنطقة جاء دور سعد الحريري ليجعل من المنطقة,very_negative,explicit
"تفضل معنا عزيزي المشجع . وقل ماتقول هذا شي فااضح بتدمير مورينهو الفريق او غيرها ، ولكن الشي الملفت تشيلسي واستحواذه… https://t.co/47n0HHunUb",negative,explicit
#لبنان سؤال .منذ متى والحصار على ايران الاسلام المحمدي الاصيل وليس المزيف بعد ان كان شرطيهم الشاه يلعب عوضا عنهم .الى الان رغم ذلك تتقدم,negative,explicit
تغريدة لي طلبت من الشباب الواعين بلدخول الى صفحتي على الفيس بوك لقراء رسالة جريح موجه الى الشباب عن طريق رابط لاكن… https://t.co/nnDER2XWZ3,neutral,none
لا يوجد الا دولة ولن تسقط لانها ثلاثية الأبعاد ولاننا احرار اما سعد فهو ايس الا دمية وجبان ومنافق ينفذ ما يطلب منه https://t.co/8kIeHu8Djr,very_negative,explicit
دخيلك يالله صوت رائع صوت ملائكي #بالقلب ما اجملك يا نوال ما اجملك كل ما اسمع غنية بقول مش معقول ينزل اجمل و بتأكد… https://t.co/xjCPQgkdIP,positive,explicit
@dr_naseer اللهم لا شماتة - لكن - يمهل ولا يهمل. ماذنب اطفال اليمن - وسوريا - والعراق - اليس لهم حرمة عند الله -,negative,explicit
بتعرف وقت حدا بيحكي عن المخدر مابيخطر ببالي غيرك .. بتشبهو كتير . هو بينصب بالوريد لنأدمنو و أنت أدمنتك بقلبي و روحي,very_positive,explicit
@alsho7a ترا اني بحب فيروز ....بس بحبش الهبل ^_^ خلص بكفيها يزم ! حدها هيك يستضيفوها ببرامج تدندن - بصوت مش حلو - اشي من اغانيها القديمه,negative,explicit
ونسحنت روحي اعله حسك . واختلط مايي ويه مايك . وتعله روجاتك وي جرفي. يصرخ خل نبلل روگنه . شناطر انت انه يمك اله اثملك,neutral,none
@karamar3 @yous0f @Sl6___ @AlShahenoo هههههه تذبحني والله خفت .. ي اخي رايي ان عكايشي كويس والعام قدم مستوى لكن هالسنه الكل سيء ..,negative,explicit
"يا الله ارزقني حُبك، وأرزقني عونك ورضاك، اللهم لُطفك، اللهم الحاجه كُل الحاجه إليك، اللهم هُداك وذكرك وتيسيراً لا ي… https://t.co/OgJMZp9KbK",neutral,none
"لبّيه ، يالي ما يساويك مخلوق . يا أللي تغار شفاه من ريق فمه . .. عاشق بديت وجيتك الحين معشوق. كاس الهوى ما يذبحك غي… https://t.co/WYnPNGt9Wx",positive,explicit
@dhalajmy والله مصدوم من اداء. خاصة من اشوف هل صورة اقول معقولة هذه مانشستر . اتصور اول تسديدة للمانيو في شوط الثاني… https://t.co/mHJb779kDW,negative,explicit
يقولون تطورات خطيرة في المنطقة وكأن اكثرمن مليون شهيد عراقي وسوري وعشرات الألوف في اليمن و ليبيا و فلسطين وتدمير حلب و الموصل تطورات بسيطة.,very_negative,explicit
"انمحنن لمى اقرا كذا ، يلا محنوني وعبو الخاص كله نفس هالكلام وفرك كس في كس يقحباتي😭✔️ تعالو ابي احس بمقحبتي القويه🌈.… https://t.co/zkGsGJbmul",very_negative,explicit
"إن الله يعلم القلب النقيّ، ويسمع الصوت الخفي، فإذا قلت: يارب، فإما أن يلبي لك النداء، أو يدفع عنك البلاء، أو يكتب لك أجراً في الخفاء.",positive,explicit
@saudimomra ليتك تشوف محافظة القريات لنا سنوات نطالب أسفلت ولم يستجيب لنا رئيس البلدية متجاهلا سياسة خادم الحرمين ا… https://t.co/2Rzc1oAbsO,negative,explicit
@3matjr السلام عليكم ورحمة الله وبركاته حبيت استفسر عن موقع wish هل هو موثوق ؟ وطريقة الشحن كيف ؟ وشكراً جزيلاً مقدماً,neutral,none
على ذاك الجدار اللى على حد البيوت الطين و قفت و هاجس الذكري نفض غباره و في ذاك المكان ثبت ان الادمي من طين تخيل يوم… https://t.co/JgFFfGuQsQ,negative,explicit
"وصيهامير المؤمنين لكميل بن زيادمختصره (ياكيمل!سم كل يوم باسم الله، وقل لاحول ولا قوه الا بالله وتوكل على الله واذكرنا وسم بأسمائنا وصل علينا",neutral,none
"النائب عن الأحرار ""مازن المازني""، يكشف عن اتفاق مع وزارة المالية لالغاء بعض مواد الطعن المقدم من قبلها الى المحكمة الاتحادية.",neutral,none
"وظيفه بن جليغم بالقريه : يفرح للمتسابقين ويبارك لهم بزياره اهاليهم ، يلاعب بزارينهم متى تفرحونه ياخي ؟ ترا اهله عن… https://t.co/74FA8kVDuS",positive,explicit
@fayez_malki ليش الحكم على الناس بهذه السرعة. يمكن الثعلب ماكله 20 جاجة او كامن جوز ارانب او جوز حمام وبده ينتقم منه… https://t.co/bhUtrDpRjL,negative,explicit
حذرت حكومة اقليم #كردستان اليوم من دفع الوضع الحالي الى القتال الذي يؤدي لكارثة على العراقيين مؤكدة عدم توقيع أي إتفاقية مع #بغداد,very_negative,explicit
مع انه ما بامن لا بدعوات ولا حسد او ما شابه بس والله الدعوة من شخص كبير او حدا محتاج بس تساعده او ترسم بسمة على وجه… https://t.co/FHertFc35i,positive,explicit
كل الحب والود لجميع الدول العربيه بدون استثناء ويجب على الشباب العربي التوحد ونبذ الخلافات لكي نكون شعوب راقيه… https://t.co/uJyczrvfhd,very_positive,explicit
جنبلاط عبر تويتر: من اجل التاريخ كي لا ندخل في المجهول افضل تسوية لاستقرار لبنان هي حكومة الوحدة الوطنية الحالية ولن ازيد,neutral,none
"(وجاء اخوة يوسف فدخلوا عليه فعرفهم وهم له منكرون ولما جهزهم بجهازهم قال:. أئتوني بأخ لكم من أبيكم ألا ترون أني أوفي الكيل وأنا خير المنزلين"".",neutral,none
"تقدم لكم مجموعة باداود مشاريع جديدة قيد الانجاز مشاريع 2018 مع اكبر شركات الاعمار,#مجموعة_باداود ستكون… https://t.co/7jLhhf7wnd",neutral,none
@saadhariri الرئيس #سعد_الحریری بالف خير وهو ليس تحت الإقامة الجبرية ولم يجبر على الكلام كما قيل (lbc https://t.co/Z1EZKomO3H,positive,explicit
"@saadlamjarred1 يا مساااء النور و الطيبة والمحبة و التفاؤل و التسامح و الخير يا اطيب قلب ❤️ الله يحفظك ،،، كنبغيك م… https://t.co/rVu5bqNZX2",very_positive,explicit
